id,docid,type,eid,entity,prov,is_correct,category,expectation
262453,overlappingpdfs.138407.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138407.pdf.task_4276_19_19,Cretaceous|145.00000|66.00000,"{4276,19,19,Cretaceous}",,1,1
290390,overlappingpdfs.132522.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132522.pdf.task_1100_1_2,Middle Ordovician|471.8000|460.9000,"{1100,1,2,""Middle Ordovician""}",,1,1
233454,overlappingpdfs.138168.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138168.pdf.task_1531_17_18,Middle Triassic|245.0000|228.0000,"{1531,17,18,""Middle Triassic""}",,1,1
198072,overlappingpdfs.132535.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132535.pdf.task_660_5_6,Early Eocene|55.8000|48.6000,"{660,5,6,""early Eocene""}",,1,1
285348,overlappingpdfs.132098.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132098.pdf.task_734_10_11,Late Ordovician|460.9000|443.7000,"{734,10,11,""Upper Ordovician""}",,1,0.996
260989,overlappingpdfs.132622.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132622.pdf.task_167_10_10,Triassic|252.17000|201.30000,"{167,10,10,Triassic}",,1,1
219955,overlappingpdfs.138622.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138622.pdf.task_1215_1_1,Whitneyan|33.30000|30.80000,"{1215,1,1,Whitneyan}",,1,0.996
279638,overlappingpdfs.132862.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132862.pdf.task_1416_6_6,Pilton|376.10000|353.80000,"{1416,6,6,Pilton}",,1,1
309059,overlappingpdfs.135557.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.135557.pdf.task_281_7_7,Permian|298.90000|252.17000,"{281,7,7,Permian}",,1,1
201791,overlappingpdfs.132659.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132659.pdf.task_17_42_42,Jurassic|201.30000|145.00000,"{17,42,42,Jurassic}",,1,0.996
280785,overlappingpdfs.132527.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132527.pdf.task_1670_88_88,Induan|252.17000|251.20000,"{1670,88,88,Induan}",,1,1
226973,overlappingpdfs.132348.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132348.pdf.task_562_25_25,Badenian|13.65000|12.70000,"{562,25,25,Badenian}",,1,0.999
198370,overlappingpdfs.132180.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132180.pdf.task_409_12_13,Early Jurassic|199.6000|175.6000,"{409,12,13,""Early Jurassic""}",,1,1
218301,overlappingpdfs.138622.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138622.pdf.task_4042_22_22,Arikareean|30.80000|20.43000,"{4042,22,22,Arikareean}",,1,0.996
309096,overlappingpdfs.133102.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.133102.pdf.task_358_4_5,Middle Jurassic|175.6000|161.2000,"{358,4,5,""Middle Jurassic""}",,1,1
213798,overlappingpdfs.132333.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132333.pdf.task_245_4_4,Pliensbachian|190.80000|182.70000,"{245,4,4,PLIENSBACHIAN}",,1,1
233887,overlappingpdfs.138083.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138083.pdf.task_345_31_31,Oligocene|33.90000|23.03000,"{345,31,31,Oligocene}",,1,0.996
182691,overlappingpdfs.132736.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132736.pdf.task_1031_11_11,Meishucunian|541.00000|516.00000,"{1031,11,11,Meishucunian}",,1,1
335888,overlappingpdfs.138624.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138624.pdf.task_6322_3_4,Middle Devonian|397.5000|385.3000,"{6322,3,4,""Middle Devonian""}",,1,1
223527,overlappingpdfs.138658.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138658.pdf.task_1211_0_1,Middle Devonian|397.5000|385.3000,"{1211,0,1,""Middle Devonian""}",,1,1
210392,overlappingpdfs.1343.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.1343.pdf.task_401_17_18,Early Cretaceous|145.5000|99.6000,"{401,17,18,""Early Cretaceous""}",,1,1
260843,overlappingpdfs.132789.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132789.pdf.task_818_1_1,Jurassic|201.30000|145.00000,"{818,1,1,Jurassic}",,1,1
218514,overlappingpdfs.132093.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132093.pdf.task_1564_35_35,Frasnian|382.70000|372.20000,"{1564,35,35,Frasnian}",,1,1
