id,docid,type,eid,entity,prov,is_correct,category,expectation
153396,overlappingpdfs.132458.pdf.task,formation,ROCK_DOC_overlappingpdfs.132458.pdf.task_575_5_5,wessex formation,"{575,5,5,Wessex}",,1,1
86882,overlappingpdfs.138407.pdf.task,formation,ROCK_DOC_overlappingpdfs.138407.pdf.task_499_26_26,nacimiento formation,"{499,26,26,Nacimiento}",,1,0.994
110935,overlappingpdfs.132583.pdf.task,member,ROCK_DOC_overlappingpdfs.132583.pdf.task_1413_2_2,wupatki member,"{1413,2,2,Wupatki}",,1,0.996
8625,overlappingpdfs.138450.pdf.task,formation,ROCK_DOC_overlappingpdfs.138450.pdf.task_1973_8_8,creek formation,"{1973,8,8,Creek}",,1,1
44435,overlappingpdfs.1393.pdf.task,formation,ROCK_DOC_overlappingpdfs.1393.pdf.task_163_33_33,pardonet formation,"{163,33,33,Pardonet}",,1,0.996
86014,overlappingpdfs.138393.pdf.task,formation,ROCK_DOC_overlappingpdfs.138393.pdf.task_1326_14_15,chinle formation,"{1326,14,15,""Chinle Formation""}",,1,0.996
68138,overlappingpdfs.135736.pdf.task,shale,ROCK_DOC_overlappingpdfs.135736.pdf.task_301_9_9,burgess shale,"{301,9,9,Burgess}",,1,0.995
22702,overlappingpdfs.131458.pdf.task,formation,ROCK_DOC_overlappingpdfs.131458.pdf.task_10_7_7,range formation,"{10,7,7,Range}",,1,0.996
144303,overlappingpdfs.138453.pdf.task,formation,ROCK_DOC_overlappingpdfs.138453.pdf.task_2559_0_1,cedar valley formation,"{2559,0,1,""Cedar Valley""}",,1,1
86134,overlappingpdfs.138407.pdf.task,formation,ROCK_DOC_overlappingpdfs.138407.pdf.task_5929_18_20,fort union formation,"{5929,18,20,""Fort Union Formation""}",,1,0.996
17425,overlappingpdfs.138449.pdf.task,shale,ROCK_DOC_overlappingpdfs.138449.pdf.task_5258_4_4,pakowki shale,"{5258,4,4,Pakowki}",,1,0.996
143026,overlappingpdfs.138624.pdf.task,group,ROCK_DOC_overlappingpdfs.138624.pdf.task_63_45_46,hamilton group,"{63,45,46,""Hamilton Group""}",,1,0.904
92593,overlappingpdfs.138519.pdf.task,formation,ROCK_DOC_overlappingpdfs.138519.pdf.task_4189_31_32,olcott formation,"{4189,31,32,""Olcott Formation""}",,1,1
145282,overlappingpdfs.136763.pdf.task,formation,ROCK_DOC_overlappingpdfs.136763.pdf.task_69_2_3,crown point formation,"{69,2,3,""Crown Point""}",,1,1
114715,overlappingpdfs.137213.pdf.task,group,ROCK_DOC_overlappingpdfs.137213.pdf.task_1858_0_0,chester group,"{1858,0,0,Chester}",,1,1
