id,docid,type,eid1,eid2,entity1,entity2,is_correct,category,expectation
593553,overlappingpdfs.132702.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132702.pdf.task_544_16_16,TIME_DOC_overlappingpdfs.132702.pdf.task_544_14_15,nari formation,Early Miocene|23.0300|15.9700,,1,0.999
579476,overlappingpdfs.132009.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132009.pdf.task_354_20_20,TIME_DOC_overlappingpdfs.132009.pdf.task_354_19_19,shale formation,Wenlock|433.40000|427.40000,,1,1
600600,overlappingpdfs.135922.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.135922.pdf.task_545_1_1,TIME_DOC_overlappingpdfs.135922.pdf.task_545_7_7,kanosh shale,Ordovician|485.40000|443.40000,,1,1
585550,overlappingpdfs.132400.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132400.pdf.task_441_10_11,TIME_DOC_overlappingpdfs.132400.pdf.task_441_8_9,mila formation,Middle Cambrian|513.0000|501.0000,t,1,1
607176,overlappingpdfs.135749.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.135749.pdf.task_378_24_24,TIME_DOC_overlappingpdfs.135749.pdf.task_378_17_17,bardahessiagh formation,Ordovician|485.40000|443.40000,t,1,1
593055,overlappingpdfs.132575.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132575.pdf.task_1245_3_4,TIME_DOC_overlappingpdfs.132575.pdf.task_1245_7_8,niobrara formation,Late Cretaceous|99.6000|65.5000,,1,0.996
597583,overlappingpdfs.131655.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.131655.pdf.task_246_13_14,TIME_DOC_overlappingpdfs.131655.pdf.task_246_9_9,perton beds formation,Ludlow|427.40000|423.00000,,1,0.996
581139,overlappingpdfs.131563.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.131563.pdf.task_466_10_11,TIME_DOC_overlappingpdfs.131563.pdf.task_466_13_14,kildare limestone formation,Late Ordovician|460.9000|443.7000,,1,1
609230,overlappingpdfs.132777.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132777.pdf.task_173_8_8,TIME_DOC_overlappingpdfs.132777.pdf.task_173_7_7,formation member,Volkhov|471.80000|468.10000,,1,0.998
586041,overlappingpdfs.130910.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.130910.pdf.task_671_7_7,TIME_DOC_overlappingpdfs.130910.pdf.task_671_15_15,telkwa formation,Jurassic|201.30000|145.00000,,1,1
601229,overlappingpdfs.132623.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132623.pdf.task_437_12_12,TIME_DOC_overlappingpdfs.132623.pdf.task_437_10_11,arcadia formation,Early Triassic|251.0000|245.0000,f,1,0.999
596873,overlappingpdfs.132666.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132666.pdf.task_6_10_11,TIME_DOC_overlappingpdfs.132666.pdf.task_6_8_9,chinle group,Late Triassic|228.0000|199.6000,,1,0.999
594617,overlappingpdfs.130323.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.130323.pdf.task_389_6_6,TIME_DOC_overlappingpdfs.130323.pdf.task_389_11_11,barr group,Caradoc|460.90000|449.50000,,1,0.996
591280,overlappingpdfs.132572.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132572.pdf.task_23_3_4,TIME_DOC_overlappingpdfs.132572.pdf.task_23_2_2,yixian formation,Cretaceous|145.00000|66.00000,,1,1
593889,overlappingpdfs.1395.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.1395.pdf.task_949_10_10,TIME_DOC_overlappingpdfs.1395.pdf.task_949_8_9,laredo formation,Middle Eocene|48.6000|37.2000,,1,1
591078,overlappingpdfs.132877.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132877.pdf.task_117_4_4,TIME_DOC_overlappingpdfs.132877.pdf.task_117_11_11,qiongzhusi formation,Cambrian|541.00000|485.40000,,1,1
587210,overlappingpdfs.132964.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132964.pdf.task_752_8_9,TIME_DOC_overlappingpdfs.132964.pdf.task_752_12_12,buen formation,Cambrian|541.00000|485.40000,t,1,1
609200,overlappingpdfs.132504.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132504.pdf.task_164_34_35,TIME_DOC_overlappingpdfs.132504.pdf.task_164_32_33,kradung formation,Middle Jurassic|175.6000|161.2000,,1,1
601325,overlappingpdfs.136380.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.136380.pdf.task_72_5_5,TIME_DOC_overlappingpdfs.136380.pdf.task_72_16_16,range formation,Franconian|501.00000|485.40000,,1,1
586663,overlappingpdfs.132678.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132678.pdf.task_700_14_14,TIME_DOC_overlappingpdfs.132678.pdf.task_700_13_13,catskill formation,Famennian|372.20000|358.90000,,1,1
596306,overlappingpdfs.138755.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138755.pdf.task_1111_10_10,TIME_DOC_overlappingpdfs.138755.pdf.task_1111_6_6,clayton formation,Danian|66.00000|61.60000,t,1,1
591682,overlappingpdfs.132925.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132925.pdf.task_912_34_34,TIME_DOC_overlappingpdfs.132925.pdf.task_912_31_31,minija formation,Ludfordian|425.60000|423.00000,,1,0.996
